ts,strategy,figi,side,qty,price,commission
2026-01-05T10:55:00+00:00,intraday_vwap_momentum,FUTSILV06260,sell,1,76.88,0.00
2026-01-05T13:30:00+00:00,intraday_vwap_momentum,FUTSILV06260,buy,1,76.61,0.00
